she	her	her	hers	herself	#FF00D0
he	him	his	his	himself	#00B3FF
they	them	their	theirs	themselves	#BB00FF
ze	hir	hir	hirs	hirself	#000000
ze	zir	zir	zirs	zirself	#000000
xey	xem	xyr	xyrs	xemself	#000000
ae	aer	aer	aers	aerself	#000000
e	em	eir	eirs	emself	#000000
ey	em	eir	eirs	eirself	#000000
fae	faer	faer	faers	faerself	#000000
fey	fem	feir	feirs	feirself	#000000
hu	hum	hus	hus	humself	#000000
it	it	its	its	itself	#000000
jee	jem	jeir	jeirs	jemself	#000000
kit	kit	kits	kits	kitself	#000000
ne	nem	nir	nirs	nemself	#000000
peh	pehm	peh's	peh's	pehself	#000000
per	per	per	pers	perself	#000000
sie	hir	hir	hirs	hirself	#000000
se	sim	ser	sers	serself	#000000
shi	hir	hir	hirs	hirself	#000000
si	hyr	hyr	hyrs	hyrself	#000000
they	them	their	theirs	themself	#000000
thon	thon	thons	thons	thonself	#000000
ve	ver	vis	vis	verself	#000000
ve	vem	vir	virs	vemself	#000000
vi	ver	ver	vers	verself	#000000
vi	vim	vir	virs	vimself	#000000
vi	vim	vim	vims	vimself	#000000
xie	xer	xer	xers	xerself	#000000
xe	xem	xyr	xyrs	xemself	#000000
xey	xem	xeir	xeirs	xemself	#000000
yo	yo	yos	yos	yosself	#000000
ze	zem	zes	zes	zirself	#000000
ze	mer	zer	zers	zemself	#000000
zee	zed	zeta	zetas	zedself	#000000
zie	zir	zir	zirs	zirself	#000000
zie	zem	zes	zes	zirself	#000000
zie	hir	hir	hirs	hirself	#000000
zme	zmyr	zmyr	zmyrs	zmyrself	#000000
